Category1,Category2,Category3,Category4,Category5,category_id,Item,Licensing,Website,Platform,Description
Utilities,Windows OS,,,,633,MobaXTerm,Commercial,http://mobaxterm.mobatek.net/,,"Enhanced terminal for Windows with X11 server, tabbed SSH client, network tools and much more"
Utilities,Code generation,,,,634,AndroMDA,Open Source,http://www.andromda.org/whatisit.html,,"AndroMDA is an open source MDA framework - it takes any number of models (usually UML models stored in XMI produced from case-tools) combined with any number of andromda plugins (cartridge and translation-libraries) and produces any number of custom components. You can generate components for any language you want, Java, .Net, HTML, PHP, anything really, you just write (or customize existing) plugins to support it and you're good to go"
Utilities,Code generation,,,,634,Middlegen,Open Source,http://sourceforge.net/projects/middlegen/,,"Middlegen is a free general-purpose database-driven code generation engine based on JDBC, Velocity, Ant and XDoclet. If you already have a database, you can use Middlegen to generate EJB (CMP 2.0), Hibernate, JDO and JSP/Struts source code."
Utilities,Document Generation,,,,635,Doxygen,Open Source,http://www.stack.nl/~dimitri/doxygen/,,"Doxygen is the de facto standard tool for generating documentation from annotated C++ sources, but it also supports other popular programming languages such as C, Objective-C, C#, PHP, Java, Python, IDL (Corba, Microsoft, and UNO/OpenOffice flavors), Fortran, VHDL, Tcl, and to some extent D."
Utilities,Remote control,,,,636,TeamViewer,Open Source/Commerical,http://www.teamviewer.com/,,"TeamViewer is a proprietary computer software package for remote control, desktop sharing, online meetings, web conferencing and file transfer between computers."
Utilities,Remote control,,,,636,VnC,Open Source,https://www.realvnc.com/,,"VNC enables you to remotely access and control your devices wherever you are in the world, whenever you need to. VNC has a widespread user base — from individuals to the world's largest multi-national companies — utilizing the technology for a range of applications."
Utilities,Email application,,,,637,Thunderbird,Open Source,https://www.mozilla.org/en-GB/thunderbird/,,Thunderbird is a free email application that's easy to set up and customize - and it's loaded with great features!
Utilities,WAP and SMS,,,,638,Kannel,Open Source,http://www.kannel.org/,,"Kannel is a compact and very powerful open source WAP and SMS gateway, used widely across the globe both for serving trillions of short messages (SMS), WAP Push service indications and mobile internet connectivity."
Utilities,HTML,,,,639,Wave Toolbar,Open Source,https://addons.mozilla.org/En-us/firefox/addon/wave-toolbar/,,"The WAVE Toolbar provides button options and a menu that will modify the current web page to reveal the underlying accessibility information. It provides an easy-to-use, yet powerful mechanism for evaluating the accessibility and usability of web content for people with disabilities"
Utilities,HTML,,,,639,Achecker,Open Source,http://achecker.ca/checker/index.php,,This tool checks single HTML pages for conformance with accessibility standards to ensure the content can be accessed by everyone. See the Handbook link to the upper right for more about the Web Accessibility Checker.
Servers,Web Servers,,,,710,Apache HTTP Server,Open Source,http://httpd.apache.org/,,"The Apache HTTP Server Project is an effort to develop and maintain an open-source HTTP server for modern operating systems including UNIX and Windows NT. The goal of this project is to provide a secure, efficient and extensible server that provides HTTP services in sync with the current HTTP standards"
Servers,Web Servers,,,,710|720,Jetty,Open Source,http://eclipse.org/jetty/,,"Jetty provides a Web server and javax.servlet container, plus support for SPDY, WebSocket, OSGi, JMX, JNDI, JAAS and many other integrations. These components are open source and available for commercial use and distribution."
Servers,Web Servers,,,,710,Apache Tomcat,Open Source,http://tomcat.apache.org/,,"Apache Tomcat is an open-source web server and servlet container developed by the Apache Software Foundation (ASF). Tomcat implements several Java EE specifications including Java Servlet, JavaServer Pages (JSP), Java EL, and WebSocket, and provides a ""pure Java"" HTTP web server environment for Java code to run in"
Servers,Web Servers,,,,710,lighthttpd,open Source,http://www.lighttpd.net/,,"lighttpd (pronounced ""lighty"")[2] is an open-source web server optimized for speed-critical environments while remaining standards-compliant, secure and flexible.[citation needed] It was originally written by Jan Kneschke as a proof-of-concept of the c10k problem - how to handle 10,000 connections in parallel on one server,[3] but has gained worldwide popularity"
Servers,Web Proxy,,,,711|1400,Squid,Open Source,http://www.squid-cache.org/,,"Squid is a caching and forwarding web proxy. It has a wide variety of uses, from speeding up a web server by caching repeated requests; to caching web, DNS and other computer network lookups for a group of people sharing network resources; to aiding security by filtering traffic. Although primarily used for HTTP and FTP, Squid includes limited support for several other protocols including TLS, SSL, Internet Gopher and HTTPS"
Servers,Web Proxy,,,,711,Nginx,Open Source,http://nginx.org/en/,,"Nginx (pronounced engine-x) is a free, open-source, high-performance HTTP server and reverse proxy, as well as an IMAP/POP3 proxy server."
Servers,OSGI Servers,,,,720,Apache Felix,Open Source,http://felix.apache.org/,,"Apache Felix is a community effort to implement the OSGi Framework and Service platform and other interesting OSGi-related technologies under the Apache license. The OSGi specifications originally targeted embedded devices and home services gateways, but they are ideally suited for any project interested in the principles of modularity, component-orientation, and/or service-orientation. OSGi technology combines aspects of these aforementioned principles to define a dynamic service deployment framework that is amenable to remote management."
Servers,OSGI Servers,,,,720,JOnAS,Open Source,http://jonas.ow2.org/xwiki/bin/view/Main/,,JOnAS is a leading edge Java EE 6 Web Profile certified Open Source OSGi Enterprise Server developed by Bull and OW2
Servers,OSGI Servers,,,,720,Equinox,Open Source,http://en.wikipedia.org/wiki/Equinox_%28OSGi%29,,"From a code point of view, Equinox is an implementation of the OSGi core framework specification, a set of bundles that implement various optional OSGi services and other infrastructure for running OSGi-based systems. The Equinox OSGi core framework implementation is used as the reference implementation and as such it implements all the required features of the latest OSGi core framework specification"
Servers,OSGI Servers,,,,720,Knopflerfish,Open Source,https://www.knopflerfish.org/,,Open Source OSGi SDK and run-time container
Servers,OSGI Servers,,,,720,Apache Geronimo,Open Source,http://geronimo.apache.org/,,Apache Geronimo is an open source server runtime that integrates the best open source projects to create Java/OSGi server runtimes that meet the needs of enterprise developers and system administrators. Our most popular distribution is a fully certified Java EE 6 application server runtime.
Servers,Application Servers,,,,721,GlassFish,Open Source,https://glassfish.java.net/,,GlassFish is an open-source application server project started by Sun Microsystems for the Java EE platform and now sponsored by Oracle Corporatio
Servers,Application Servers,,,,721,WSO2 Application Server,Open Source,http://wso2.com/products/application-server/,,"Your Web application is valuable to your users‚ and increasingly valuable to mobile applications, integration consumers, business processes, workflows, and analytics. With the WSO2 Application Server, you can easily share business logic, data, and process across the entire IT ecosystem. The WSO2 Application Server is cloud native, providing a firm foundation for hosting shared, multi-tenant, elastically scaling SaaS applications."
Servers,Application Servers,,,,721,Oracle Weblogic Application Server,Commercial,http://www.oracle.com/technetwork/middleware/weblogic/overview/index-085209.html,,"Oracle WebLogic Server 12c is the industry's best application server for building and deploying enterprise Java EE applications with support for new features for lowering cost of operations, improving performance, enhancing scalability and supporting the Oracle Applications portfolio."
